コード,ユニット,サブユニット,タイトル,説明,
ASAKA01,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,朝霞駐屯地へようこそ！！,"ようこそ、朝霞駐屯地ツアーへ。このシリーズでは、首都圏にある朝霞駐屯地がどのような役割を担い、どんな部隊が活動しているのかを、順を追って紹介します。
駐屯地は英語ではCampと呼ばれ海上、航空自衛隊の「基地」（Base）に相当します。朝霞駐屯地は、陸上自衛隊の中でも特に重要な駐屯地で、全国規模の作戦を統括する陸上総隊司令部と、関東一円を担当する東部方面隊司令部という二つの司令部が置かれています。
敷地には司令部庁舎のほか、訓練場、自衛隊体育学校、広報施設「りっくんランド」などがあり、指揮・教育・広報が一体となって運用されています。このツアーでは朝霞駐屯地の役割と現在の活動、歴史、そして未来の役割まで幅広く見ていきましょう。",3級-軍事と戦略
ASAKA02,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,どこにあって何がある？,"朝霞駐屯地は、東京都心からほど近い埼玉県朝霞市・和光市を中心とした一帯に広がります。アクセス性の良さから、首都圏防衛の中枢に非常に適した立地にあります。ここには、日本中の即応部隊を指揮する陸上総隊司令部と関東一円を統括する東部方面隊司令部とが並んで配置されており、全国へ、そして首都圏への二つの指揮機能が同居しています。さらに、作戦を支える通信・情報・施設科部隊、自衛隊体育学校、多目的に使われる朝霞訓練場広報施設「りっくんランド」、などが整備され、多機能な構成となっています。
    都市近郊であるため戦車や大型ミサイルなどの重量装備は置かれておらず、指揮・運用・通信といった“作戦の中枢を担う機能”が集中しています。朝霞は、位置・組織・設備の三拍子が揃った陸上自衛隊の重要拠点です。",3級-軍事と戦略
ASAKA03,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,陸上総隊って何？,"陸上総隊は2018年に創設された、陸上自衛隊の全国作戦司令部です。従来、方面隊ごとに完結していた指揮体系を統合し、全国レベルの事態に迅速に対応するための司令部として設置されました。指揮下には、水陸機動団（日本版海兵隊とも）、空挺団、特殊作戦群、中央即応連隊、高射特科群、通信部隊など、日本でも最も即応性の高い精鋭部隊が配置されています。これらは特定地域に縛られず、必要な場所へ速やかに展開できる機動部隊であり、陸上総隊はその運用を常時統括しています。
    また、大規模災害や武力攻撃など、全国規模の事態には方面隊の上位に立って指揮を執ることもあります。司令部が朝霞に置かれていることで、東京周辺の行政との連携も迅速に行えるのも大きな特長です。朝霞駐屯地を語る上で、陸上総隊の存在は欠かせません。",3級-軍事と戦略
ASAKA04,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,東部方面隊とは？,陸上総隊と同じく朝霞に司令部を置く東部方面隊は、関東地方を中心とする広大な地域の防衛と災害対応を担う「地域司令部」です。担当区域は東京都・神奈川・埼玉・千葉を軸に、新潟県、長野県、静岡県の一部を含む、人口が最も密集したエリアです。そのため、首都直下地震への備えや警備行動、重要施設防護など、多岐にわたる任務を抱えています。指揮下には、練馬の第1師団、群馬の第12旅団をはじめ、通信・施設・後方支援などの各種部隊が配置され、強固な防衛網を形成しています。朝霞の司令部は、これらの部隊の情報を集約し、作戦を統合する「地域の頭脳」として機能しています。さらに近年では、多国間共同訓練や災害派遣における調整の役割も大きくなっており、東部方面隊は地域安全保障の中核となっています。,3級-軍事と戦略
ASAKA05,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,朝霞に駐屯する部隊,"朝霞駐屯地には、戦闘部隊よりも“司令部を支える専門部隊”が多く配置されています。全国の作戦を扱う陸上総隊が置かれているため、情報・通信・サイバー防護・電子戦といった現代戦の中枢機能を担当する部隊が集まっており、朝霞は陸上自衛隊の技術・情報面のハブとなっています。一方、関東一円を担当する東部方面隊所属の部隊としては、施設科、後方支援、衛生、会計、警務、音楽隊など、地域の作戦運用を支える多様な部隊もここに駐屯しています。近年では偵察や警備を担う機動部隊も加わり、役割がさらに広がっています。 
また、自衛隊体育学校や輸送学校、中央音楽隊など教育・広報機関も併設されており、朝霞は“司令部・専門技術・教育”の三つの機能がそろう、陸上自衛隊でも特徴的な駐屯地です。",3級-軍事と戦略
ASAKA06,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,朝霞駐屯地の活動,"朝霞駐屯地では、全国と関東一円の作戦を担う司令部が置かれているため、日々多様な活動が行われます。司令部の幕僚たちは作戦計画の立案や状況監視、他部隊との調整にあたり、通信・情報・サイバーの部隊はネットワーク監視や情報分析を常時行っています。   
一方、朝霞訓練場では基礎訓練、車両教習、屋内射撃、軽戦技訓練など実動的な訓練も行われています。中央観閲式の会場として知られる広場では、隊列・式典訓練が行われることもあります。偵察・施設・後方支援など各部隊も、自らの専門領域に応じた訓練や整備作業を進めています。
また、自治体との防災訓練や広報イベントへの参加を通じて地域とも結びつき、災害時には迅速な派遣の準備を整えています。指揮の静と訓練の動が共存する点が、朝霞駐屯地ならではの特徴です。",3級-軍事と戦略
ASAKA07,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,りっくんランドの紹介,"朝霞駐屯地に隣接する広報センター「りっくんランド」は、自衛隊を身近に感じられる体験型の施設です。戦車や装甲車、ヘリコプターの実物大模型、最新装備の展示など、普段は触れられない装備品を間近に見ることができます。制服試着体験や、重量ある装備を実際に持ってみるコーナー、シミュレーターを使った体験など、子どもから大人まで楽しめる内容が充実しています。
館内の展示では、災害派遣の記録、海外派遣での活動、日本の安全保障の仕組みなどが紹介され、自衛隊の役割を“体験しながら理解できる”工夫が凝らされています。イベントが行われる日には、隊員との交流やミニ演奏会、特別展示が開催されることもあります。
気軽に立ち寄れる広報施設として、朝霞駐屯地とはまた違った視点から自衛隊を知ることができる人気スポットです。実際に現地を訪れると、装備や活動がより立体的に理解できるでしょう。",3級-軍事と戦略
ASAKA08,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,朝霞駐屯地の歴史,"朝霞駐屯地には、戦前・戦後・現代の三つの時代が折り重なっています。1941年（昭和16年）には、若い士官候補生を養成する陸軍予科士官学校（振武臺）が移設され、多くの学生がここで軍事教育を受けました。終戦後は米軍が進駐し、広大な「キャンプ朝霞」として利用されます。1960年にその一部が自衛隊へ返還され、現在の朝霞駐屯地として再スタートしました。1964年東京オリンピックでは射撃競技の公式会場となり、訓練場の一部が国際舞台として活用された歴史もあります。
現在では陸上総隊と東部方面隊の司令部が置かれ、日本の安全保障の中枢として機能しています。戦前の面影と、戦後の変遷、現代の役割が一つの場所に重なる、独特の歴史を持つ駐屯地です。",3級-軍事と戦略
ASAKA09,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,これからの朝霞駐屯地,"朝霞駐屯地は今後、陸上自衛隊の中でも特に重要な拠点として、さらに進化していくでしょう。全国の即応部隊を統括する陸上総隊が置かれていることから、朝霞はこれまで以上に全国規模の作戦調整や危機対応の中心となります。電子戦・サイバー防護・情報収集といった新領域の部隊も拡充されており、現代の安全保障環境に対応した多次元の指揮中枢としての役割が強まっています。
訓練面でも、朝霞訓練場を活用した指揮所演習、軽戦技訓練、多国間共同訓練の増加が見込まれています。また、首都圏に位置する特徴を生かし、災害時の迅速な対処や自治体との連携体制もさらに整備されるでしょう。
司令部、専門部隊、教育機関が集まる朝霞は、今後も陸上自衛隊の未来をつくる場所として役割を深めていくと期待されています。",3級-軍事と戦略
ASAKA10,駐屯地、基地ツアー,朝霞駐屯地見学ツアー,練馬駐屯地も見ておこう,朝霞が指揮機能の集積地であるのに対し、練馬駐屯地は“実際に行動する部隊”が配置された拠点です。ここには第1師団司令部と第1普通科連隊があり、市街地戦闘、警備行動、災害派遣など首都圏の現場で動く実力部隊が日々訓練を続けています。都市部に位置するため重量級装備はなく、高機動車や軽装甲機動車など、迅速な展開力に優れた装備が使われています。また、通信・施設・後方支援などの要素部隊も配置され、普通科部隊を後方から支えています。練馬を知ることで、朝霞の“司令部としての役割”と、現場で働く部隊の関係がより立体的に理解できます。朝霞が“頭”なら、練馬は“腕”として機能し、両者が連携することで首都圏防衛は成り立っているのです。,3級-軍事と戦略
YOKO01,駐屯地、基地ツアー,横須賀基地見学ツアー, 横須賀基地へようこそ！,"横須賀基地へようこそ！
ここは東京湾の入り口という地政学的に極めて敏感かつ重要な位置にあり、現代のインド太平洋地域における安全保障の要石として機能しています。日本の海上防衛の中枢である海上自衛隊と、アメリカ海軍の前方展開戦略の核心である米海軍基地が、融合した世界でも類を見ない場所です。
約160年前に幕末の徳川幕府がフランスの技術を導入して建設した「横須賀製鉄所」をルーツに持ち、歴史的な石造ドックが今なお現役で最新鋭の艦艇を支えています。港内には日本の平和を守る護衛艦と、世界有数の戦力を持つ米第7艦隊の艦艇が並び、日米同盟が最も具体的に可視化されています。
本ツアーを通じて、この風景が日本の安全保障や世界の安定とどう繋がっているのか、その歴史と機能の深層を一緒に探究していきましょう 。",3級-軍事と戦略
YOKO02,駐屯地、基地ツアー,横須賀基地見学ツアー,どこにあって何がある？,"横須賀基地は東京湾の入口近く、首都圏の海の玄関を守る軍港です。港を挟んで西側が海上自衛隊、東側が在日米海軍という“向かい合わせ”の構造が最大の特徴で、天然の良港と幕末以来の造船・修理の歴史が今も土台になっています。
海自側は吉倉桟橋を中心に護衛艦が係留され、補給・整備や基地業務を担う部隊が集まります。船越地区には自衛艦隊の指揮施設が置かれ、作戦の「頭脳」として機能します。東西の中間の楠ヶ浦は潜水艦、田浦は教育・医療など、地区ごとに役割が分かれます。
米軍側には多数の桟橋と複数のドライドックが並び、巨大ドックは原子力空母の入渠にも対応します。住宅・病院・学校・商業施設まで備え、基地の中に“街”があるのも横須賀らしさです。見学では、港の両岸に艦艇が並ぶ理由を地図で確かめてみましょう。ヴェルニー公園から全体像が見渡せます。ぜひ。",3級-軍事と戦略
YOKO03,駐屯地、基地ツアー,横須賀基地見学ツアー,横須賀基地の役割とは？,"横須賀基地は、日本の防衛において海上自衛隊の中枢的拠点です。首都圏に最も近い大規模軍港として、護衛艦や潜水艦が常時展開できる体制を維持し、領海警備、シーレーン防護、弾道ミサイル防衛など日本防衛の実動部隊を支えています。特に自衛艦隊司令部が置かれている点で、横須賀は海自全体の作戦を統括する「頭脳」の役割を担っています。
一方、米軍から見た横須賀は、西太平洋における最重要の海軍拠点です。沖縄には大規模な海軍軍港はなく、空母や多数の水上戦闘艦を常時受け入れられるのは横須賀だけです。そのため第7艦隊の司令部や空母打撃群が置かれ、アジア太平洋全域への即応展開が可能になります。
横須賀基地は、日本防衛の中核であると同時に、米海軍の前方展開拠点として日米同盟を実戦レベルで支える、極めて重い役割を担っているのです。",3級-軍事と戦略
YOKO04,駐屯地、基地ツアー,横須賀基地見学ツアー,海上自衛隊の中枢・横須賀,"海上自衛隊にとって横須賀は「海自の首都」とも呼ぶべき最重要拠点です。2020年には船越地区に最新鋭の「海上作戦センター」が完成し、自衛艦隊司令部や護衛艦隊司令部といった作戦指揮の頭脳がここに集約されました。これにより、全国の艦艇や航空部隊へ即時に指示を出す体制が整い、米軍との緊密な共同作戦指揮も円滑に行えるようになっています。
また、横須賀地方総監部は岩手県から三重県までの広大な太平洋岸地域の防衛・警備を担当し、沿岸防備や災害派遣、基地業務を指揮しています。現場の実力部隊だけでなく、後方の整備補給、さらには技術教育を担う術科学校や医療を担う病院まで、あらゆる機能がこの地に集積しています。海自創設の地の一つでもある横須賀は、鎮守府以来の伝統を継承しつつ、常に日本の海上防衛の進化をリードし続けているのです 。",3級-軍事と戦略
YOKO05,駐屯地、基地ツアー,横須賀基地見学ツアー,横須賀に配備される艦艇,"横須賀には海上自衛隊の最新鋭かつ強力な艦艇が集結しています。その象徴が、全通甲板を持つ海自最大の艦艇である護衛艦「いずも」です
。現在はF-35B戦闘機の運用を可能にするための「空母化」改修が進められており、艦首形状が四角形に変更されるなど、日本の航空優勢確保の切り札へと進化を遂げています。 
加えて、弾道ミサイル防衛の中核を担うイージス艦「まや」や、世界最高水準の隠密性を誇る最新鋭の「たいげい型」潜水艦部隊もここを母港としています。
さらに、従来の護衛艦と掃海艇の機能を併せ持つステルス艦「もがみ型」などの新世代艦も配備され、また南極観測船「しらせ」などが横須賀を基盤に活躍する例もあります。まさに日本の海軍力のショーケースといえます。これらの多彩な艦艇が連携し、首都圏をはじめとする日本の空と海を日夜守っているのです。",3級-軍事と戦略
YOKO06,駐屯地、基地ツアー,横須賀基地見学ツアー,港とドックのしくみ,"横須賀の港を支えるのは、160年の歴史を持つドック群です。1871年に完成した「1号ドック」は日本最古の石造りドライドックであり、近代化産業遺産としての価値を持ちながら今なお現役で艦艇整備に使用されています。これらはフランス人技師ヴェルニーの指導により造られたもので、横須賀が近代工廠の街として発展した原点です。
一方、米軍エリアの「6号ドック」は1940年に完成した巨大施設で、かつて戦艦「大和」級の超大型館にも対応できる規模で造られました。このドックの存在こそが、戦後に米海軍が原子力空母を収容できる拠点として横須賀を維持し続ける決定的な要因となりました。
古い歴史的遺産と最新の運用機能が同じ港に共存し、日米の艦艇が肩を並べて入渠する姿は、横須賀基地が持つ唯一無二の技術的・歴史的連続性を物語っています。",3級-軍事と戦略
YOKO07,駐屯地、基地ツアー,横須賀基地見学ツアー,日米同盟と横須賀基地,"横須賀基地は日米安全保障条約に基づく同盟関係が最も具体的に現れている現場です。ここでは単に二つの海軍が隣り合っているのではなく、施設や補給機能、情報の共有といった高度な「相互運用性」が確立されています。例えば、海自の艦艇が米軍のドックで修理を受けたり、燃料や部品を融通し合う枠組みが日常的に機能しています。
近年では、自衛艦隊と米第7艦隊の司令部が近接している利点を活かし、共同作戦指揮やホットラインを通じた緊密な意思疎通が行われています。 
また、日米のイージス艦がネットワークで結ばれ、弾道ミサイル防衛において重層的な「盾」を形成しているのも大きな特徴です。この一体となった統合抑止の態勢こそが、地域の不安定要因に対する強力なメッセージとなり、日本の平和と世界の安定を支える基盤となっているのです。",3級-軍事と戦略
YOKO08,駐屯地、基地ツアー,横須賀基地見学ツアー,米海軍横須賀基地とは？,"米海軍横須賀基地（CFAY/U.S.
  Fleet Activities Yokosuka）は、アメリカ本土以外で唯一原子力空母を母港とする、米海軍最大かつ戦略的に最も重要な海外基地です。第7艦隊の指揮中枢である旗艦「ブルー・リッジ」を筆頭に、約10隻のイージス駆逐艦を擁する第15駆逐隊などが配備され、西太平洋からインド洋にわたる広大な海域の安定を担っています。
基地内は約2万人以上の軍人や家族が暮らす完結したコミュニティであり、独自の学校、病院、商業施設が並ぶ「アメリカの街」そのものです
。また、日本人従業員が約2,500名働く艦船修理廠（SRF）の高度な技術力は、米軍艦艇の迅速な整備に不可欠な要素となっています。日本の技術力と米軍の運用能力が高度に融合している点が、他の海外基地にはない横須賀の強みと言えるでしょう 。",3級-軍事と戦略
YOKO09,駐屯地、基地ツアー,横須賀基地見学ツアー,横須賀基地の歴史,"横須賀基地の歴史は幕末・明治期に始まります。江戸幕府末期に造船所の建設が進み、1871年（明治4年）に石造1号ドックが完成すると、日本はここを軍港として整備しました。1884年には東海鎮守府が移転して横須賀鎮守府が設置され、日清・日露戦争期を通じて帝国海軍の重要拠点として機能しました。太平洋戦争中も造船・修理の中心であり、戦後は連合軍に接収されます。
    1952年に海上自衛隊が発足すると、横須賀に横須賀地方隊が編成され、旧海軍施設の一部を使用して再駐留を開始しました。米海軍は基地を西側に整備し、冷戦期以降、横須賀は日米同盟の重要な海上戦略拠点へと変貌しました。1973年には航空母艦が常駐する母港となり、以後原子力空母の前方展開基地として現在に至ります。この長い歴史は、旧軍港から現代の日米共同拠点への継承と変革の軌跡を語っています。",3級-軍事と戦略
YOKO10,駐屯地、基地ツアー,横須賀基地見学ツアー,これからの横須賀基地,"横須賀基地は、変化する安全保障環境に合わせてさらなる進化を続けています。2025年以降の最大の注目点は、護衛艦「いずも」が戦闘機F３５Bの発着・運用に対応する点です。2027年度までに、日米の護衛艦と空母による共同作戦が可能となることで、太平洋側での防空能力や島嶼防衛の能力は次元の異なる段階へと移行します。
また、ステルス性を極限まで高めた新型護衛艦の増勢や、米海軍が進める無人水上艇（USV）の試験運用など、最新の無人兵器が港内に浮かぶ光景も日常となっていくでしょう。 
厳しい国際情勢の中でも、横須賀は歴史ある施設と最新の軍事技術、そして日米の絆を融合させ、自由で開かれたインド太平洋を守るための「結節点」として、これからも平和への責任を果たし続けます。今後も横須賀基地は、平時・有事を問わず多様な役割を果たし続けるでしょう。",3級-軍事と戦略
YOKO11,駐屯地、基地ツアー,横須賀基地見学ツアー,【名所】タケルとサクラの原点：走水神社（上）,"横須賀市の東端、東京湾に面した静かな高台に走水神社は鎮座しています。現在は桜の名所としても知られ、落ち着いた参拝地ですが、その立地は古代から近代まで一貫して「海の要衝」でした。眼下に広がる浦賀水道は、日本列島の東西を結ぶ重要な海上交通路であり、古代の東国遠征から近代の軍港・横須賀へと続く歴史の舞台でもあります。
神社の周辺には砲台跡や旧軍施設が点在し、近くには防衛大学校もあります。これは偶然ではなく、この地が常に国の防衛と深く関わってきた証と言えるでしょう。走水神社は、現代の横須賀基地と同じ海を見つめながら、日本の防衛の原点に思いを巡らせることができる、特別な場所なのです。",3級-軍事と戦略
YOKO12,駐屯地、基地ツアー,横須賀基地見学ツアー,【名所】タケルとサクラの原点：走水神社（下）,"走水神社に祀られているのは、東国平定に向かった英雄・日本武尊と、その妃である弟橘媛です。古事記・日本書紀によれば、荒れる海を前に弟橘媛は自ら海に身を投じ、夫と国の進路を救いました。この自己犠牲の物語は、古くから日本人の心に深く刻まれてきました。
日本武尊は「日本の海軍の始まり」とも言われる存在で、未知の海を越え、国を広げた象徴的な英雄です。一方、弟橘媛命は支える者の覚悟と献身を体現しています。この二人の姿は、タケルとサクラという本プロジェクトのマスコットにも重ねられています。横須賀を訪れた際には、ぜひ立ち寄り、この物語に思いを馳せてみてください。過去と現在をつなぐ静かな時間が、きっと得られるはずです。",3級-軍事と戦略
IRUMA01,駐屯地、基地ツアー,入間基地見学ツアー,入間基地へようこそ！,"埼玉県の武蔵野台地に広がる、航空自衛隊入間基地へようこそ。ここは平時に約４５００名もの隊員が勤務する、東日本最大の補給と輸送の拠点です。総面積は約３・２平方キロメートルに及び、東京ドームに換算すると約６８個分もの広さを持っています。
今回のツアーでは、普段は立ち入ることのできないフェンスの向こう側へとご案内します。入間基地の大きな特徴は、実は戦闘機が１機も配備されていないことです。 それなのに、なぜこれほど多くの隊員が集まっているのでしょうか。
その理由は、ここが航空自衛隊のロジスティクス、つまり兵站の中枢だからです。 前線で戦う部隊を後ろから支える、巨大な物流の要。その役割と仕組みを、一緒に探究していきましょう。",3級-軍事と戦略
IRUMA02,駐屯地、基地ツアー,入間基地見学ツアー,どこにあって何がある？,"入間基地があるのは、埼玉県の狭山市と入間市にまたがる場所です。 入間基地と呼ばれていますが、実は入間市には１５パーセントしかなく、残りの大部分は狭山市に位置しています。 こうした名前と実態のズレも、この基地の面白い特徴の一つです。
周辺は地盤が固く平坦な武蔵野台地で、古くから航空基地に適した場所として利用されてきました。 西武池袋線の稲荷山公園駅が敷地のすぐ近くにあり、電車のホームから基地が見えるほど街と隣り合っています。
敷地の中央には、長さ２０００メートルの滑走路が１本伸びています。 その端には「１７」や「３５」という数字が大きく書かれています。 これは滑走路が向いている「１７０度」と「３５０度」の方角を意味する、航空界の独特なルールです。",3級-軍事と戦略
IRUMA03,駐屯地、基地ツアー,入間基地見学ツアー,空自最大の補給・輸送ハブ,"入間基地に戦闘機はいません。 それなのに空自最大の拠点となっているのは、ここが航空自衛隊の兵站、つまり物資の補給と輸送の中枢だからです。
基地内には、全国の部隊へ燃料や医療品、航空機の部品などを届ける第３補給処と第４補給処が置かれています。 いわば自衛隊専用の巨大な物流センターです。ここで厳重に管理された装備品が、日本各地の基地へと日々送り出されています。
これらの物資や隊員を、実際に空から運ぶのが第２輸送航空隊の役割です。 滑走路の脇には大型の輸送機が並び、国内の定期便だけでなく、大規模な災害時の緊急輸送や、海外への国際緊急援助活動といった任務を担っています。
必要なものをそろえ、迅速に届ける。入間は、日本の防衛を根底から支える要の拠点です。",3級-軍事と戦略
IRUMA04,駐屯地、基地ツアー,入間基地見学ツアー,C-1からC-2へ——輸送機の世代交代,"入間基地の空を長く支えてきた、初の国産ジェット輸送機「Ｃ－１」が、２０２５年３月にすべての運用を終了しました。 約５５年にわたり活躍し、緑の迷彩柄の機体は入間の象徴として親しまれました。
現在、その後を継いで主力となっているのが、新しい国産輸送機「Ｃ－２」です。 機体は大幅に大型化し、輸送できる能力が大きく向上しました。 最大の積載量はＣ－１の約８トンから、Ｃ－２では約３０トンへと増えています。
これにより、従来は運べなかったペトリオットシステムや大型車両なども、解体せずにそのまま空輸できるようになりました。
さらに航続距離も約４倍に伸び、国際緊急援助の際にはハワイまで給油なしで飛行できます。 日本の空輸能力は、今、大きな世代交代を迎えています。",3級-軍事と戦略
IRUMA05,駐屯地、基地ツアー,入間基地見学ツアー,縁の下の力持ち——飛行点検隊と補給処,"入間基地には、陸海空の自衛隊を通じてここにしか存在しない、唯一の専門部隊があります。それが「飛行点検隊」です。
彼らの任務は、日本全国の自衛隊飛行場にある無線施設が、正しい電波を出しているかを空から検査することです。 専用の 飛行点検機を運用し、すべての自衛隊機が安全に離着陸するためのインフラを日夜維持しています。
また入間には、情報戦や電子戦の核となる電子飛行測定隊や電子戦隊も置かれています。 なお、丸いレーダーを載せた「Ｅ－２早期警戒機」が入間に常駐していると誤解されることがありますが、あちらは青森県の三沢基地などに所属する機体です。
電波という目に見えない領域から、日本の航空防衛の安全を支える組織が、この地に集まっています。",3級-軍事と戦略
IRUMA06,駐屯地、基地ツアー,入間基地見学ツアー,首都の空を誰が守る？——横田空域という現実,"入間基地には、首都圏をはじめ東日本の空の防衛を担う「中部航空方面隊司令部」が置かれています。日本の空を守る、まさに中枢のひとつです。
ところが、その空には知られざる事実があります。入間基地を含む関東一円の上空には、「横田空域」と呼ばれる広大な空域が広がっています。東京・埼玉・神奈川など1都8県にまたがり、南北およそ300キロメートル、高度7000メートルにまで及ぶ、巨大な階段状の空間です。
この空域の管制を行っているのは、日本ではなく、在日米軍です。終戦後から続くこの仕組みのため、羽田を発つ旅客機の多くは、空域を避けて東京湾上空で旋回し、高度を上げてから西へ向かいます。
日本側は返還を求め、これまで一部が返還されてきました。首都の空がどのように成り立っているのか——意外と知られていない現実です。",3級-軍事と戦略
IRUMA07,駐屯地、基地ツアー,入間基地見学ツアー,中部航空方面隊という守り,"入間基地には、首都圏を含む東日本一帯の防空をまとめる、中部航空方面隊の司令部が置かれています。 その防衛を受け持つ範囲は、北は山形県から西は島根県や高知県までにおよび、日本の人口や経済が集中する一都二府二十三県という広大なエリアをカバーしています。
この広い地域において、地上からの迎撃を担当するのが中部高射群です。 入間基地にはその部隊の指揮所があり、敷地内には地対空誘導弾ペトリオット、いわゆる「ＰＡＣ－３」のシステムが配備されています。
これは、周辺国からミサイルなどの攻撃があった際、首都圏への着弾を最後の段階で迎え撃つための装備です。 ２４時間体制での警戒監視を絶やすことなく、常に空をにらみ続けています。
地上から空を守るシステムによって、首都圏の安全を支える盾の役割を果たしているのです。",3級-軍事と戦略
IRUMA08,駐屯地、基地ツアー,入間基地見学ツアー,入間基地の歴史——修武台からジョンソン基地へ,"入間基地の歴史は、１９３８年に現在の場所へと移転してきた、旧日本陸軍の航空士官学校から始まります。 １９４０年には本格的な飛行場が完成し、翌年には昭和天皇から「修武臺」という名を授けられました。 太平洋戦争の終戦までに、約７０００名もの航空士官候補生がここから大空へと巣立っていったのです。
戦後は一転して連合国軍に接収され、「ジョンソン基地」と改称されました。 １９５０年に始まった朝鮮戦争の際には米軍の重要な作戦拠点となり、不足する住宅を補うために周辺へ米軍ハウスが整備されました。
その後、段階的に日本への移管が進み、１９５８年に航空自衛隊の入間基地が開設されます。 そして１９７８年にすべての敷地が全面返還され、現在の姿となりました。
旧陸軍から米軍、自衛隊へと受け継がれた歴史が、この地に深く刻まれています。",3級-軍事と戦略
IRUMA09,駐屯地、基地ツアー,入間基地見学ツアー,入間航空祭——日本最大級の航空ショー,"毎年１１月３日の文化の日に開催される「入間航空祭」は、日本最大級の来場者数を集める航空イベントです。 この日は基地が一般に開放され、入場無料で様々な航空機や地上装備を間近で見学することができます。
秋晴れとなった２０２５年度の開催時には、約２６万人もの多くの観客が基地へと詰めかけました。 これは国内の航空ショーのなかでも最大級の動員数です。 人気の理由は、巨大な首都圏に立地していること、そして西武線の稲荷山公園駅から徒歩ですぐにアクセスできるという高い利便性にあります。
多くのファンが楽しみにしているのが、ブルーインパルスによる展示飛行です。 青と白の機体が一糸乱れぬ隊形を組み、大空に白いスモークで大きなハートや星を描き出します。
一般の人々と自衛隊を結ぶ、開かれた広報の舞台となるのです。",3級-軍事と戦略
IRUMA10,駐屯地、基地ツアー,入間基地見学ツアー,これからの入間基地,"入間基地は、新しい機体の導入や機能の強化によって、その役割を変化させ続けています。
輸送の面ではＣ－２への移行が完了し、物資の大量輸送や島嶼部への緊急展開能力が向上しました。 さらに、最新の電波情報収集機「ＲＣ－２」も配備され、現代の防衛に求められる電磁波領域での情報収集能力を強化しています。
災害への備えとしては、２０２２年に敷地内で「自衛隊入間病院」が開院しました。 この病院は大規模災害が発生した際、全国から空輸されてくる傷病者を受け入れる医療ハブとなります。 通常は６０ある病床を、壁面に埋め込まれた酸素バルブなどを活用して、２倍の１２０床へと緊急増床できる特別な設計が特徴です。
空の輸送力と医療のハブ機能を組み合わせ、入間基地は時代に応じた進化を続けています。",3級-軍事と戦略
