コード,ユニット,サブユニット,タイトル,説明,
JPNDF22,日本周辺の軍事情勢,北朝鮮・ロシア,ロシアと日本——変わらない地政学,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF01,世界の軍事情勢,概論,世界の軍事バランスを決めるもの,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF02,世界の軍事情勢,概論,軍事費が示す国家の意志,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF11,世界の軍事情勢,ウクライナ・欧州,ウクライナ戦争が変えた世界の安全保障の常識,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF12,世界の軍事情勢,ウクライナ・欧州,欧州の安全保障——NATOという仕組み,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF21,世界の軍事情勢,中東・インド太平洋,中東——なぜ終わらないのか,（準備中）このカードは現在作成中です。,3級-軍事と戦略
WLDDF22,世界の軍事情勢,中東・インド太平洋,インド太平洋という新しい概念,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM01,自衛隊の武器・兵器（マニア枠）,陸自装備,10式戦車——日本最新鋭の主力戦車,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM02,自衛隊の武器・兵器（マニア枠）,陸自装備,装甲車両——機動力の核心,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM03,自衛隊の武器・兵器（マニア枠）,陸自装備,火砲と自走砲——陸の長距離打撃力,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM04,自衛隊の武器・兵器（マニア枠）,陸自装備,陸自の航空戦力——ヘリと無人機,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM05,自衛隊の武器・兵器（マニア枠）,陸自装備,地対艦・地対空ミサイル——島を守る壁,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM21,自衛隊の武器・兵器（マニア枠）,海自装備,イージス艦——海の盾,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM22,自衛隊の武器・兵器（マニア枠）,海自装備,いずも型護衛艦——空母化への道,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM23,自衛隊の武器・兵器（マニア枠）,海自装備,潜水艦——海中の忍者,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM24,自衛隊の武器・兵器（マニア枠）,海自装備,哨戒機——空から海を守る,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM25,自衛隊の武器・兵器（マニア枠）,海自装備,艦対空・艦対艦ミサイル——海からの打撃力,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM41,自衛隊の武器・兵器（マニア枠）,空自装備,ステルス戦闘機——F-35の実力,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM42,自衛隊の武器・兵器（マニア枠）,空自装備,主力戦闘機——F-15とF-2,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM43,自衛隊の武器・兵器（マニア枠）,空自装備,早期警戒機——空の目,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM44,自衛隊の武器・兵器（マニア枠）,空自装備,C-2輸送機——空の兵站を担う国産輸送機,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM45,自衛隊の武器・兵器（マニア枠）,空自装備,空対空・空対艦ミサイル——戦闘機の牙,（準備中）このカードは現在作成中です。,3級-軍事と戦略
ARM46,自衛隊の武器・兵器（マニア枠）,空自装備,弾道ミサイル防衛——多層の盾,（準備中）このカードは現在作成中です。,3級-軍事と戦略
SUMC01,シュメール・都市国家誕生,,→なぜ雨の降らない土地で文明が？,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMF02,シュメール・都市国家誕生,,支配者は神官から王へ,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMC02,シュメール・都市国家誕生,,→なぜ人は集まったか——余剰と分業,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMF03,シュメール・都市国家誕生,,粘土板に刻まれた「契約」,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMC03,シュメール・都市国家誕生,,→文字はなぜ生まれたか——帳簿が先だった,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMF04,シュメール・都市国家誕生,,王が定めた「法」,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMC04,シュメール・都市国家誕生,,→王はなぜ偉くなれたか——神官から軍事リーダーへ,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMF05,シュメール・都市国家誕生,,メソポタミアは、ここから始まった,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMC05,シュメール・都市国家誕生,,→そもそも国家とは何か——赤の他人が群れる仕組み,（準備中）このカードは現在作成中です。,3級-国家と法律
SUMC06,シュメール・都市国家誕生,,→この仕組みがボード各地で何度も生まれた,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRF01,漢とローマ——東西の二大帝国,,漢とローマ——二つの大帝国,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRC01,漢とローマ——東西の二大帝国,,→帝国とは人材登用システムである,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRF02,漢とローマ——東西の二大帝国,,ローマ——法と道の帝国,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRC02,漢とローマ——東西の二大帝国,,→なぜ遊牧民は強かったか——騎馬という最強技術,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRF03,漢とローマ——東西の二大帝国,,漢——文字と役人の帝国,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRC03,漢とローマ——東西の二大帝国,,→面を治めるとは——戸籍・国勢調査の誕生,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRF04,漢とローマ——東西の二大帝国,,遊牧民——もう一つの主役,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRC04,漢とローマ——東西の二大帝国,,→シルクロード——東西をつなぐ線と中間の主役,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRF05,漢とローマ——東西の二大帝国,,日本建国——やまとの国,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRC05,漢とローマ——東西の二大帝国,,→【日本】やまとの国はいつ始まったか,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRC06,漢とローマ——東西の二大帝国,,→【日本】記紀と物証の符合,（準備中）このカードは現在作成中です。,3級-国家と法律
HNRC07,漢とローマ——東西の二大帝国,,→帝国が広がり、縮んでいく理由,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLF01,イスラム大帝国の興隆と唐,,イスラム帝国——神の法が束ねる,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLC01,イスラム大帝国の興隆と唐,,→束ね方の比較——神の法・律令・取り入れ・教会,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLF02,イスラム大帝国の興隆と唐,,唐——律令が束ねる帝国,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLC02,イスラム大帝国の興隆と唐,,→「中くらいの層」の4地域比較,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLF03,イスラム大帝国の興隆と唐,,日本——律令を取り入れる,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLC03,イスラム大帝国の興隆と唐,,→【日本】律令を取り入れたが肝はすぐ棚上げ,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLF04,イスラム大帝国の興隆と唐,,ヨーロッパ——まだ「村」の時代,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLC04,イスラム大帝国の興隆と唐,,→タラス河畔の戦い——東西文明圏の境界と紙の西伝,（準備中）このカードは現在作成中です。,3級-国家と法律
ISLC05,イスラム大帝国の興隆と唐,,→食と人口が国家の規模を決める,（準備中）このカードは現在作成中です。,3級-国家と法律
MNGF01,モンゴル台風の極大,,モンゴル——史上最大の帝国,（準備中）このカードは現在作成中です。,3級-国家と法律
MNGC01,モンゴル台風の極大,,→モンゴルはなぜ強かったか——組織化と技術吸収,（準備中）このカードは現在作成中です。,3級-国家と法律
MNGF02,モンゴル台風の極大,,モンゴル——巨大帝国の統治術,（準備中）このカードは現在作成中です。,3級-国家と法律
MNGC02,モンゴル台風の極大,,→ロシアの変質——タタールのくびきと専制の起源,（準備中）このカードは現在作成中です。,3級-国家と法律
MNGF03,モンゴル台風の極大,,ヨーロッパ——距離が阻んだ侵攻,（準備中）このカードは現在作成中です。,3級-国家と法律
MNGC03,モンゴル台風の極大,,→生態史観の極限——D・遊牧民がA・B・Cを飲み込んだ,（準備中）このカードは現在作成中です。,3級-国家と法律
MNGF04,モンゴル台風の極大,,元寇——日本に及んだ台風の実態,（準備中）このカードは現在作成中です。,3級-国家と法律
MNGC04,モンゴル台風の極大,,→【日本/元寇】神風通説の解体,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPF01,火器が覇者を変えた,,火器——騎馬の時代の終わり,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPC01,火器が覇者を変えた,,→火器の改良史——点火機構の進歩が集団戦を変えた,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPF02,火器が覇者を変えた,,清とオスマン——火器が生んだ巨大帝国,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPC02,火器が覇者を変えた,,→なぜ火器が遊牧民を終わらせたか,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPF03,火器が覇者を変えた,,ヨーロッパ——戦争が磨いた技術,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPC03,火器が覇者を変えた,,→大砲の経済学——中央集権の誕生,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPF04,火器が覇者を変えた,,鉄砲伝来——戦国を終わらせた新兵器,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPC04,火器が覇者を変えた,,→火薬帝国の「最後の輝き」と大分岐の伏線,（準備中）このカードは現在作成中です。,3級-国家と法律
GNPC05,火器が覇者を変えた,,→【日本】鉄砲伝来と天下統一,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYF01,大航海時代——海からの挑戦者,,航海術——大洋を越えた技術,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYC01,大航海時代——海からの挑戦者,,→航海術の進歩史——羅針盤・帆船・計器の組み合わせ,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYF02,大航海時代——海からの挑戦者,,ポルトガルとスペイン——世界を二分した先発者,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYC02,大航海時代——海からの挑戦者,,→後発逆転のwhy——会社・資本の仕組みが決めた,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYF03,大航海時代——海からの挑戦者,,オランダとイギリス——海洋を制した「会社」,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYC03,大航海時代——海からの挑戦者,,→私的暴力の国家によるorganize——海賊から海軍へ,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYF04,大航海時代——海からの挑戦者,,日本にもあった大航海時代,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYC04,大航海時代——海からの挑戦者,,→海をめぐる法の誕生——グロティウスと国際公法,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYC05,大航海時代——海からの挑戦者,,→世界の一体化とその影——コロンブス交換と奴隷貿易,（準備中）このカードは現在作成中です。,3級-国家と法律
VOYC06,大航海時代——海からの挑戦者,,→【日本】住吉船——取り入れる国の象徴,（準備中）このカードは現在作成中です。,3級-国家と法律
INDF01,産業革命と主権国家の誕生,,ウェストファリア条約——主権国家体制への第一歩,（準備中）このカードは現在作成中です。,3級-国家と法律
INDC01,産業革命と主権国家の誕生,,→三十年戦争とは何だったか,（準備中）このカードは現在作成中です。,3級-国家と法律
INDF02,産業革命と主権国家の誕生,,フランス革命とナポレオン——国民国家の成立,（準備中）このカードは現在作成中です。,3級-国家と法律
INDC02,産業革命と主権国家の誕生,,→ウェストファリアで何が変わったか,（準備中）このカードは現在作成中です。,3級-国家と法律
INDF03,産業革命と主権国家の誕生,,植民地——「牧場経営」の進展,（準備中）このカードは現在作成中です。,3級-国家と法律
INDC03,産業革命と主権国家の誕生,,→国民国家とは何か——内に人権、外に侵略,（準備中）このカードは現在作成中です。,3級-国家と法律
INDF04,産業革命と主権国家の誕生,,蒸気船と鉄道——世界を縮めた輸送革命,（準備中）このカードは現在作成中です。,3級-国家と法律
INDC04,産業革命と主権国家の誕生,,→主権が国民へ移る三つの道——英・米・仏,（準備中）このカードは現在作成中です。,3級-国家と法律
INDF05,産業革命と主権国家の誕生,,明治維新と大日本帝国憲法の成立,（準備中）このカードは現在作成中です。,3級-国家と法律
INDC05,産業革命と主権国家の誕生,,→近代法の誕生——ナポレオン法典と法の前の平等,（準備中）このカードは現在作成中です。,3級-国家と法律
INDC06,産業革命と主権国家の誕生,,→なぜCが逆転したか——大分岐の回収,（準備中）このカードは現在作成中です。,3級-国家と法律
INDC07,産業革命と主権国家の誕生,,→【日本】明治維新——主権国家・国民国家への作り直し,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPF01,帝国主義の時代,,大英帝国——その絶頂と陰り,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPC01,帝国主義の時代,,→大英帝国の繁栄の正体と影,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPF02,帝国主義の時代,,グレートゲーム——英露、中央アジアの角逐,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPC02,帝国主義の時代,,→大英帝国のピークアウト,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPF03,帝国主義の時代,,ドイツとアメリカ——後発の挑戦者,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPC03,帝国主義の時代,,→アフリカ分割——白人クラブの破廉恥パーティ,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPF04,帝国主義の時代,,世界史の中の日露戦争と条約改正,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPC04,帝国主義の時代,,→国際法の文明国基準——力こそ正義,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPF05,帝国主義の時代,,第一次世界大戦——帝国主義の爆発,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPC05,帝国主義の時代,,→アメリカの19世紀——静かな台頭,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPC06,帝国主義の時代,,→【日本】日本だけが工業化できたのはなぜか,（準備中）このカードは現在作成中です。,3級-国家と法律
IMPC07,帝国主義の時代,,→第一次大戦と古い帝国の消滅,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRF01,世界大戦と主権国家体制の完成,,戦間期——持てる国と持たざる国,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRC01,世界大戦と主権国家体制の完成,,→戦間期——法による秩序の最初の失敗作,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRF02,世界大戦と主権国家体制の完成,,第二次世界大戦——史上最大の戦争,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRC02,世界大戦と主権国家体制の完成,,→不戦条約——最初の戦争違法化とその限界,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRF03,世界大戦と主権国家体制の完成,,日本の敗戦——三度目の大変革,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRC03,世界大戦と主権国家体制の完成,,→戦後体制は設計された——誰が、いつ、どこで,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRF04,世界大戦と主権国家体制の完成,,戦後体制と国際連合の構築,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRC04,世界大戦と主権国家体制の完成,,→植民地独立の世界史的意義,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRF05,世界大戦と主権国家体制の完成,,植民地独立——主権国家体制の完成,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRC05,世界大戦と主権国家体制の完成,,→【日本①】三度の作り直し——奈良朝・明治・敗戦後,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRC06,世界大戦と主権国家体制の完成,,→【日本②】取り入れたら変えられない——ボトムアップの癖,（準備中）このカードは現在作成中です。,3級-国家と法律
WWRC07,世界大戦と主権国家体制の完成,,→完成はゴールか、新たな問いの始まりか,（準備中）このカードは現在作成中です。,3級-国家と法律
SEK01,関ヶ原の戦い,,概容——天下分け目の10時間,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SEK02,関ヶ原の戦い,,起——秀吉の死と天下の空白,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SEK03,関ヶ原の戦い,,承——西軍と東軍、二つの天下,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SEK04,関ヶ原の戦い,,転——小早川秀秋の裏切り,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SEK05,関ヶ原の戦い,,結——6時間で決まった天下,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SEK06,関ヶ原の戦い,,まとめ——決断と裏切りが変えた歴史,（準備中）このカードは現在作成中です。,3級-戦争の歴史
KNK01,川中島の戦い,,概容——信玄と謙信、5度の激突,（準備中）このカードは現在作成中です。,3級-戦争の歴史
KNK02,川中島の戦い,,起——甲斐の虎と越後の龍,（準備中）このカードは現在作成中です。,3級-戦争の歴史
KNK03,川中島の戦い,,承——第四次川中島——最大の激突,（準備中）このカードは現在作成中です。,3級-戦争の歴史
KNK04,川中島の戦い,,転——「きつつき戦法」と謙信の奇襲,（準備中）このカードは現在作成中です。,3級-戦争の歴史
KNK05,川中島の戦い,,結——引き分けが続いた理由,（準備中）このカードは現在作成中です。,3級-戦争の歴史
KNK06,川中島の戦い,,まとめ——なぜ決着がつかなかったのか,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SAT01,薩英戦争,,概容——近代艦隊と攘夷志士の激突,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SAT02,薩英戦争,,起——生麦事件と開戦の経緯,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SAT03,薩英戦争,,承——英国艦隊、鹿児島に現れる,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SAT04,薩英戦争,,転——薩摩の反撃と英艦の損害,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SAT05,薩英戦争,,結——薩摩が学んだこと,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SAT06,薩英戦争,,まとめ——攘夷から倒幕・維新へ,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NKK01,日本海海戦,,概容——世界史上最大の艦隊決戦,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NKK02,日本海海戦,,起——バルチック艦隊の7ヶ月の航海,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NKK03,日本海海戦,,承——東郷ターンと「T字戦法」,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NKK04,日本海海戦,,転——バルチック艦隊、壊滅へ,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NKK05,日本海海戦,,結——日露講和とポーツマス条約,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NKK06,日本海海戦,,まとめ——日本海海戦が証明したこと,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SGP01,シンガポール攻略,,概容——難攻不落の要塞が3日で陥落,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SGP02,シンガポール攻略,,起——マレー半島上陸,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SGP03,シンガポール攻略,,承——自転車部隊の電撃戦,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SGP04,シンガポール攻略,,転——要塞の弱点——砲台は海を向いていた,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SGP05,シンガポール攻略,,結——開戦70日で陥落,（準備中）このカードは現在作成中です。,3級-戦争の歴史
SGP06,シンガポール攻略,,まとめ——勝利が生んだ過信,（準備中）このカードは現在作成中です。,3級-戦争の歴史
MID01,ミッドウェー海戦,,概容——太平洋の転換点,（準備中）このカードは現在作成中です。,3級-戦争の歴史
MID02,ミッドウェー海戦,,起——日本軍の目的と「AF」暗号解読,（準備中）このカードは現在作成中です。,3級-戦争の歴史
MID03,ミッドウェー海戦,,承——第一波攻撃と「運命の5分間」,（準備中）このカードは現在作成中です。,3級-戦争の歴史
MID04,ミッドウェー海戦,,転——空母4隻、一日で喪失,（準備中）このカードは現在作成中です。,3級-戦争の歴史
MID05,ミッドウェー海戦,,結——失われた熟練パイロット,（準備中）このカードは現在作成中です。,3級-戦争の歴史
MID06,ミッドウェー海戦,,まとめ——なぜ日本は負けたのか,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CNN01,カンナエの戦い,,概容——完全包囲殲滅の古典,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CNN02,カンナエの戦い,,起——ハンニバルとローマの対立,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CNN03,カンナエの戦い,,承——数で劣るカルタゴの布陣,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CNN04,カンナエの戦い,,転——中央を退かせ、両翼で包む,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CNN05,カンナエの戦い,,結——7万ローマ兵が半日で壊滅,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CNN06,カンナエの戦い,,まとめ——カンナエが軍事思想に与えた影響,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CTN01,コンスタンティノープル陥落,,概容——1000年の帝国、大砲で崩れる,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CTN02,コンスタンティノープル陥落,,起——ビザンツ帝国の黄昏,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CTN03,コンスタンティノープル陥落,,承——ウルバン砲——時代を変えた兵器,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CTN04,コンスタンティノープル陥落,,転——陸と海からの総攻撃,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CTN05,コンスタンティノープル陥落,,結——1453年5月29日の陥落,（準備中）このカードは現在作成中です。,3級-戦争の歴史
CTN06,コンスタンティノープル陥落,,まとめ——中世の終わりと近世の始まり,（準備中）このカードは現在作成中です。,3級-戦争の歴史
ARMD01,アルマダの海戦,,概容——無敵艦隊の敗北,（準備中）このカードは現在作成中です。,3級-戦争の歴史
ARMD02,アルマダの海戦,,起——スペインvsイングランドの覇権争い,（準備中）このカードは現在作成中です。,3級-戦争の歴史
ARMD03,アルマダの海戦,,承——130隻の無敵艦隊、海峡へ,（準備中）このカードは現在作成中です。,3級-戦争の歴史
ARMD04,アルマダの海戦,,転——「火船」作戦と嵐,（準備中）このカードは現在作成中です。,3級-戦争の歴史
ARMD05,アルマダの海戦,,結——スペインの覇権、陰り始める,（準備中）このカードは現在作成中です。,3級-戦争の歴史
ARMD06,アルマダの海戦,,まとめ——海洋覇権の移り変わり,（準備中）このカードは現在作成中です。,3級-戦争の歴史
WTR01,ワーテルローの戦い,,概容——ナポレオン最後の戦い,（準備中）このカードは現在作成中です。,3級-戦争の歴史
WTR02,ワーテルローの戦い,,起——百日天下とヨーロッパの反応,（準備中）このカードは現在作成中です。,3級-戦争の歴史
WTR03,ワーテルローの戦い,,承——6月18日、ウーグモンの戦い,（準備中）このカードは現在作成中です。,3級-戦争の歴史
WTR04,ワーテルローの戦い,,転——プロイセン軍の到着,（準備中）このカードは現在作成中です。,3級-戦争の歴史
WTR05,ワーテルローの戦い,,結——近衛兵の崩壊,（準備中）このカードは現在作成中です。,3級-戦争の歴史
WTR06,ワーテルローの戦い,,まとめ——なぜナポレオンは負けたのか,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NRM01,ノルマンディ上陸作戦,,概容——史上最大の上陸作戦,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NRM02,ノルマンディ上陸作戦,,起——欺瞞作戦フォーティテュード——「いつ、どこへ」,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NRM03,ノルマンディ上陸作戦,,承——D-Day——夜明け前の空挺と艦砲射撃,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NRM04,ノルマンディ上陸作戦,,転——オマハの浜——もっとも激しい抵抗,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NRM05,ノルマンディ上陸作戦,,結——橋頭堡の確保とパリ解放へ,（準備中）このカードは現在作成中です。,3級-戦争の歴史
NRM06,ノルマンディ上陸作戦,,まとめ——兵站・欺瞞・制空権の三位一体,（準備中）このカードは現在作成中です。,3級-戦争の歴史
STG01,スターリングラード攻防戦,,概容——史上最大の市街戦,（準備中）このカードは現在作成中です。,3級-戦争の歴史
STG02,スターリングラード攻防戦,,起——ヒトラーの夏季攻勢とヴォルガへの執着,（準備中）このカードは現在作成中です。,3級-戦争の歴史
STG03,スターリングラード攻防戦,,承——「ラット戦争」——一棟一室の争奪,（準備中）このカードは現在作成中です。,3級-戦争の歴史
STG04,スターリングラード攻防戦,,転——ウラヌス作戦——冬将軍と包囲,（準備中）このカードは現在作成中です。,3級-戦争の歴史
STG05,スターリングラード攻防戦,,結——第6軍25万人が降伏,（準備中）このカードは現在作成中です。,3級-戦争の歴史
STG06,スターリングラード攻防戦,,まとめ——東部戦線の転換点,（準備中）このカードは現在作成中です。,3級-戦争の歴史
BOB01,バトル・オブ・ブリテン,,概容——初めて空だけで決まった戦い,（準備中）このカードは現在作成中です。,3級-戦争の歴史
BOB02,バトル・オブ・ブリテン,,起——ダンケルクの後、英国は孤立した,（準備中）このカードは現在作成中です。,3級-戦争の歴史
BOB03,バトル・オブ・ブリテン,,承——ルフトワッフェと王立空軍の攻防,（準備中）このカードは現在作成中です。,3級-戦争の歴史
BOB04,バトル・オブ・ブリテン,,転——ロンドン爆撃への転換——ドイツが失ったチャンス,（準備中）このカードは現在作成中です。,3級-戦争の歴史
BOB05,バトル・オブ・ブリテン,,結——シーライオン作戦の中止,（準備中）このカードは現在作成中です。,3級-戦争の歴史
BOB06,バトル・オブ・ブリテン,,まとめ——レーダーと少数精鋭が変えた勝敗,（準備中）このカードは現在作成中です。,3級-戦争の歴史
GUL01,湾岸戦争,,概容——現代戦の姿を変えた100時間,（準備中）このカードは現在作成中です。,3級-戦争の歴史
GUL02,湾岸戦争,,起——クウェート侵攻と国連決議,（準備中）このカードは現在作成中です。,3級-戦争の歴史
GUL03,湾岸戦争,,承——砂漠の盾から砂漠の嵐へ——38日間の空爆,（準備中）このカードは現在作成中です。,3級-戦争の歴史
GUL04,湾岸戦争,,転——地上戦100時間——左フック作戦,（準備中）このカードは現在作成中です。,3級-戦争の歴史
GUL05,湾岸戦争,,結——完勝の後に残ったもの,（準備中）このカードは現在作成中です。,3級-戦争の歴史
GUL06,湾岸戦争,,まとめ——精密誘導兵器と非接触型戦争の時代へ,（準備中）このカードは現在作成中です。,3級-戦争の歴史